Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	0.260684
1	CPU Time	0.260000
2	Effective Time	0.260000
2	Spin Time	0.0
2	Overhead Time	0.0
1	Total Thread Count	1
1	Paused Time	0.0
0	Top Hotspots	
0	Function	Module	CPU Time	% of CPU Time(%)
0	matrix_mult	project_cpp2	0.260000	100.0
0	Collection and Platform Info	
1	Application Command Line	./project_cpp2 
1	Operating System	6.1.157-1.el9.elrepo.x86_64 \S Kernel \r on an \m 
1	Computer Name	g38n05.hep.wisc.edu
1	Result Size	3554070
1	Collection start time	18:58:29 05/12/2025 UTC
1	Collection stop time	18:58:29 05/12/2025 UTC
1	Collector Type	User-mode sampling and tracing
1	CPU	
2	Name	Unknown
2	Frequency	2299999542
2	Logical CPU Count	96
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	available
